kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25NOV13BOSOTT-BOS,nhl-bos-ott-2025-11-13,2025-10-17T15:31:15.419341Z,yes,no,1.0,0
KXNHLGAME-25DEC21OTTBOS-OTT,,,,yes,,0
KXNHLGAME-25DEC21OTTBOS-BOS,,,,no,,0
KXNHLGAME-25SEP27BOSPHI-PHI,nhl-bos-phi-2025-09-27,2025-09-22T20:16:03.192362Z,yes,no,1.0,0
KXNHLGAME-25SEP27BOSPHI-BOS,nhl-bos-phi-2025-09-27,2025-09-22T20:16:03.192362Z,yes,yes,1.0,1
KXNHLGAME-25SEP29PHIBOS-PHI,,,,yes,,0
KXNHLGAME-25SEP29PHIBOS-BOS,,,,no,,0
KXNHLGAME-26JAN29PHIBOS-PHI,,,,no,,0
KXNHLGAME-26JAN29PHIBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN11PITBOS-PIT,,,,no,,0
KXNHLGAME-26JAN11PITBOS-BOS,,,,yes,,0
KXNHLGAME-26JAN06BOSSEA-SEA,nhl-bos-sea-2026-01-06,2025-12-10T16:31:26.953663Z,no,yes,0.001,0
KXNHLGAME-26JAN06BOSSEA-BOS,nhl-bos-sea-2026-01-06,2025-12-10T16:31:26.953663Z,no,no,0.001,1
KXNHLGAME-26JAN15SEABOS-SEA,,,,no,,0
KXNHLGAME-26JAN15SEABOS-BOS,,,,yes,,0
KXNHLGAME-25NOV23BOSSJ-SJ,nhl-bos-sj-2025-11-23,2025-10-27T15:31:22.80029Z,yes,yes,1.0,1
KXNHLGAME-25NOV23BOSSJ-BOS,nhl-bos-sj-2025-11-23,2025-10-27T15:31:22.80029Z,yes,no,1.0,0
KXNHLGAME-25DEC04STLBOS-STL,,,,no,,0
KXNHLGAME-25DEC04STLBOS-BOS,,,,yes,,0
KXNHLGAME-25DEC09BOSSTL-STL,,,,no,,0
KXNHLGAME-25DEC09BOSSTL-BOS,,,,yes,,0
KXNHLGAME-25OCT13TBBOS-TB,,,,yes,,0
KXNHLGAME-25OCT13TBBOS-BOS,,,,no,,0
KXNHLGAME-26FEB01BOSTB-TB,nhl-bos-tb-2026-02-01,2026-01-05T16:31:29.102699Z,no,yes,0.001,0
KXNHLGAME-26FEB01BOSTB-BOS,nhl-bos-tb-2026-02-01,2026-01-05T16:31:29.102699Z,no,no,0.001,1
KXNHLGAME-25NOV08BOSTOR-TOR,nhl-bos-tor-2025-11-08,2025-10-12T15:31:29.013634Z,yes,no,1.0,0
KXNHLGAME-25NOV08BOSTOR-BOS,nhl-bos-tor-2025-11-08,2025-10-12T15:31:29.013634Z,yes,yes,1.0,1
KXNHLGAME-25NOV11TORBOS-TOR,,,,no,,0
KXNHLGAME-25NOV11TORBOS-BOS,,,,yes,,0
KXNHLGAME-25OCT19BOSUTA-UTA,,,,yes,,0
KXNHLGAME-25OCT19BOSUTA-BOS,,,,no,,0
KXNHLGAME-25DEC16UTABOS-UTA,,,,no,,0
KXNHLGAME-25DEC16UTABOS-BOS,,,,yes,,0
KXNHLGAME-25DEC20VANBOS-VAN,,,,yes,,0
KXNHLGAME-25DEC20VANBOS-BOS,,,,no,,0
KXNHLGAME-26JAN03BOSVAN-VAN,nhl-bos-van-2026-01-03,2025-12-07T16:31:25.613677Z,yes,no,1.0,0
KXNHLGAME-26JAN03BOSVAN-BOS,nhl-bos-van-2026-01-03,2025-12-07T16:31:25.613677Z,yes,yes,1.0,1
KXNHLGAME-25OCT16BOSVGK-VGK,,,,yes,,0
KXNHLGAME-25OCT16BOSVGK-BOS,,,,no,,0
KXNHLGAME-26JAN22VGKBOS-VGK,,,,no,,0
KXNHLGAME-26JAN22VGKBOS-BOS,,,,yes,,0
KXNHLGAME-25DEC11BOSWPG-WPG,,,,no,,0
KXNHLGAME-25DEC11BOSWPG-BOS,,,,yes,,0
KXNHLGAME-25OCT02BOSWSH-WSH,,,,no,,0
KXNHLGAME-25OCT02BOSWSH-BOS,,,,yes,,0
KXNHLGAME-25OCT08BOSWSH-WSH,nhl-bos-wsh-2025-10-08,2025-10-02T16:31:38.822Z,yes,no,1.0,0
KXNHLGAME-25OCT08BOSWSH-BOS,nhl-bos-wsh-2025-10-08,2025-10-02T16:31:38.822Z,yes,yes,1.0,1
KXNHLGAME-25NOV08BUFCAR-CAR,nhl-buf-car-2025-11-08,2025-10-12T15:31:30.030535Z,yes,yes,1.0,1
KXNHLGAME-25NOV08BUFCAR-BUF,nhl-buf-car-2025-11-08,2025-10-12T15:31:30.030535Z,yes,no,1.0,0
KXNHLGAME-25NOV23CARBUF-CAR,,,,no,,0
KXNHLGAME-25NOV23CARBUF-BUF,,,,yes,,0
KXNHLGAME-26JAN19BUFCAR-CAR,nhl-buf-car-2026-01-19,2025-12-23T16:31:17.960401Z,no,yes,0.001,0
KXNHLGAME-26JAN19BUFCAR-BUF,nhl-buf-car-2026-01-19,2025-12-23T16:31:17.960401Z,no,no,0.001,1
KXNHLGAME-25OCT28CBJBUF-CBJ,,,,yes,,0
KXNHLGAME-25OCT28CBJBUF-BUF,,,,no,,0
KXNHLGAME-26JAN03BUFCBJ-CBJ,nhl-buf-cbj-2026-01-03,2025-12-07T16:31:21.700397Z,yes,yes,1.0,1
KXNHLGAME-26JAN03BUFCBJ-BUF,nhl-buf-cbj-2026-01-03,2025-12-07T16:31:21.700397Z,yes,no,1.0,0
KXNHLGAME-25NOV19CGYBUF-CGY,,,,yes,,0
KXNHLGAME-25NOV19CGYBUF-BUF,,,,no,,0
KXNHLGAME-25DEC08BUFCGY-CGY,,,,yes,,0
KXNHLGAME-25DEC08BUFCGY-BUF,,,,no,,0
KXNHLGAME-25NOV21CHIBUF-CHI,,,,no,,0
KXNHLGAME-25NOV21CHIBUF-BUF,,,,yes,,0
KXNHLGAME-25OCT13COLBUF-COL,,,,yes,,0
KXNHLGAME-25OCT13COLBUF-BUF,,,,no,,0
KXNHLGAME-25NOV13BUFCOL-COL,nhl-buf-col-2025-11-13,2025-10-17T15:31:16.898902Z,yes,yes,1.0,1
KXNHLGAME-25NOV13BUFCOL-BUF,nhl-buf-col-2025-11-13,2025-10-17T15:31:16.898902Z,yes,no,1.0,0
KXNHLGAME-25DEC31BUFDAL-DAL,nhl-buf-dal-2025-12-31,2025-12-04T16:31:27.949411Z,yes,no,1.0,0
