id,slug,startDate,lastTradePrice
656840,nhl-bos-nyi-2025-11-26,2025-10-30T15:31:18.847195Z,1.0
656847,nhl-dal-sea-2025-11-26,2025-10-30T15:31:22.048166Z,1.0
659915,nhl-col-min-2025-11-28,2025-11-01T15:31:19.637546Z,1.0
659919,nhl-ott-stl-2025-11-28,2025-11-01T15:31:21.952765Z,1.0
659923,nhl-tor-wsh-2025-11-28,2025-11-01T15:31:21.442314Z,1.0
662218,nhl-edm-sea-2025-11-29,2025-11-03T16:31:20.390245Z,1.0
662223,nhl-buf-min-2025-11-29,2025-11-03T16:31:22.314344Z,1.0
662228,nhl-ana-chi-2025-11-30,2025-11-03T16:31:23.082016Z,1.0
665094,nhl-cbj-nj-2025-12-01,2025-11-04T16:31:09.143537Z,1.0
665096,nhl-ana-stl-2025-12-01,2025-11-04T16:31:08.629944Z,1.0
644503,nhl-cbj-wpg-2025-11-18,2025-10-22T15:31:21.57Z,1.0
646464,nhl-edm-wsh-2025-11-19,2025-10-23T15:31:11.566687Z,1.0
646466,nhl-car-min-2025-11-19,2025-10-23T15:31:09.61972Z,1.0
648022,nhl-cbj-tor-2025-11-20,2025-10-24T15:31:21.217615Z,1.0
648023,nhl-edm-tb-2025-11-20,2025-10-24T15:31:19.48033Z,1.0
648031,nhl-dal-van-2025-11-20,2025-10-24T15:31:23.946919Z,1.0
649600,nhl-min-pit-2025-11-21,2025-10-25T15:31:27.701744Z,1.0
649602,nhl-car-wpg-2025-11-21,2025-10-25T15:31:30.063577Z,1.0
650559,nhl-cbj-det-2025-11-22,2025-10-26T15:31:16.513489Z,1.0
650561,nhl-edm-fla-2025-11-22,2025-10-26T15:31:19.474507Z,1.0
650562,nhl-tb-wsh-2025-11-22,2025-10-26T15:31:18.960361Z,1.0
650563,nhl-ott-sj-2025-11-22,2025-10-26T15:31:18.44384Z,1.0
650565,nhl-nj-phi-2025-11-22,2025-10-26T15:31:21.008994Z,1.0
650567,nhl-col-nsh-2025-11-22,2025-10-26T15:31:20.477641Z,1.0
651764,nhl-min-wpg-2025-11-23,2025-10-27T15:31:20.527124Z,1.0
651767,nhl-bos-sj-2025-11-23,2025-10-27T15:31:22.80029Z,1.0
